Item ID,Title,Author
312210121212,Catching Fire,Suzanne Collins
312210123281,Foundation Trilogy,Isaac Asimov
312210121314,The Moon is a Harsh Mistress,Robert A. Heinlein
312210121823,A Canticle for Leibowitz,Walter M. Miller
312210121284,The Name of the Wind,Patrick Rothfuss
312210124153,The Hydrogen Sonata,Iain M. Banks
312210124159,Dune,Frank Herbert
312210124812,1984,George Orwell
312210123691,Martian Chronicles,Ray Bradbury
312210128794,Childhood's End,Arthur C. Clarke
312210125321,Slaughterhouse Five,Kurt Vonnegut
